base,alvo,A,D,Dp,Dn,I,id,SUPP,itemDom,desc,TP,FP,quali,lift,conf,cov,chi,pvalue,sup_p,sup_n
DM_peso_familia_251190,s,42,980,40,940,111,0,90.0,0.4,cod_banheiro_domic_fam=s@val_desp_alimentacao_fam_eq=(0;100]@bf_baby=n,23,338,0.008433985839233655,1.5609418282548477,0.06371191135734072,0.3683673469387755,7.65262474252738,0.005668978080901277,0.575,0.3595744680851064
DM_peso_familia_251190,s,42,980,40,940,111,1,90.0,0.4,cod_banheiro_domic_fam=s@cod_calcamento_domic_fam=nExiste@qtd_familias_domic_fam=<=1@val_desp_alimentacao_fam_eq=(0;100]@age_M=< 20,12,85,0.00820491461890879,3.0309278350515463,0.12371134020618557,0.09897959183673469,18.895493016315342,1.3807850350433526E-5,0.3,0.09042553191489362
DM_peso_familia_251190,s,42,980,40,940,111,2,90.0,0.4,cod_calcamento_domic_fam=nExiste@qtd_comodos_dormitorio_fam=[2;3]@val_desp_alimentacao_fam_eq=(0;100]@bf_baby=n,13,136,0.007059558517284465,2.13758389261745,0.087248322147651,0.1520408163265306,9.676322318799933,0.0018665788150576956,0.325,0.14468085106382977
DM_peso_familia_251190,s,42,980,40,940,111,3,90.0,0.4,qtd_familias_domic_fam=<=1@age_M=< 20@bf_baby=n,13,138,0.006976259891711786,2.1092715231788084,0.08609271523178808,0.1540816326530612,9.346658138736819,0.002233924440026014,0.325,0.14680851063829786
DM_peso_familia_251190,s,42,980,40,940,111,4,90.0,0.4,cod_parentesco_rf_pessoa_eq=Son/daughter@female=s@bf_baby=n,17,235,0.006851311953352769,1.652777777777778,0.06746031746031746,0.2571428571428571,6.151175213675212,0.013132480696528281,0.425,0.25
DM_peso_familia_251190,s,42,980,40,940,111,5,90.0,0.4,cod_especie_domic_fam_eq=partPerm@val_desp_aluguel_fam_eq=0@val_desp_medicamentos_fam_eq=0@consultas=4-6,19,292,0.00643481882548938,1.496784565916399,0.06109324758842444,0.3173469387755102,4.784413136494732,0.02871843207429181,0.475,0.31063829787234043
DM_peso_familia_251190,s,42,980,40,940,111,6,90.0,0.4,val_desp_medicamentos_fam_eq=0@estcivmae=casada/uniEstavel@escolaridade_eq_M=ate5Ano,15,207,0.006059975010412329,1.6554054054054057,0.06756756756756757,0.22653061224489796,5.246407497712725,0.021992130570078983,0.375,0.22021276595744682
DM_peso_familia_251190,s,42,980,40,940,111,7,90.0,0.4,cod_especie_domic_fam_eq=partPerm@qtd_comodos_domic_fam_eq=[6a5]@primeiraGestacao=s,13,169,0.005685131195335277,1.75,0.07142857142857142,0.18571428571428572,5.349944008958566,0.02072293616516041,0.325,0.1797872340425532
DM_peso_familia_251190,s,42,980,40,940,111,8,90.0,0.4,cod_abaste_agua_domic_fam_eq=outros@primeiraGestacao=s,8,56,0.0054977092877967525,3.0625000000000004,0.125,0.0653061224489796,12.39454613026108,4.3058964248476883E-4,0.2,0.059574468085106386
DM_peso_familia_251190,s,42,980,40,940,111,9,90.0,0.4,val_desp_energia_fam_eq=0@estcivmae=casada/uniEstavel@escolaridade_eq_M=ate5Ano,9,80,0.005476884631403583,2.477528089887641,0.10112359550561797,0.09081632653061225,9.093729013244513,0.002564873872057727,0.225,0.0851063829787234
