base,alvo,A,D,Dp,Dn,I,id,SUPP,itemDom,desc,TP,FP,quali,lift,conf,cov,chi,pvalue,sup_p,sup_n
DM_peso_familia_500520,s,42,880,50,830,117,0,98.0,0.4,cod_escoa_sanitario_domic_fam_eq=fossaRud@cod_iluminacao_domic_fam_eq=eletricidade@val_desp_medicamentos_fam_eq=0@csection=C-section@racacor_cidacs_M=preto;pardo@cod_sabe_ler_escrever_memb_eq_M=s,26,196,0.01521177685950413,2.0612612612612615,0.11711711711711711,0.25227272727272726,20.14402669414205,7.182419764495407E-6,0.52,0.236144578313253
DM_peso_familia_500520,s,42,880,50,830,117,1,98.0,0.4,cod_iluminacao_domic_fam_eq=eletricidade@racacor_cidacs_M=preto;pardo@cod_sabe_ler_escrever_memb_eq_M=s,43,551,0.01051136363636364,1.2740740740740741,0.0723905723905724,0.675,8.27048364397762,0.004029477101420431,0.86,0.6638554216867469
DM_peso_familia_500520,s,42,880,50,830,117,2,98.0,0.4,val_desp_agua_esgoto_fam_eq=(17;40)@csection=C-section@cod_sabe_ler_escrever_memb_eq_M=s,16,128,0.008884297520661156,1.9555555555555555,0.1111111111111111,0.16363636363636364,9.470461556370411,0.002088068292943057,0.32,0.15421686746987953
DM_peso_familia_500520,s,42,880,50,830,117,3,98.0,0.4,cod_escoa_sanitario_domic_fam_eq=fossaRud@val_desp_agua_esgoto_fam_eq=(17;40)@racacor_cidacs_M=preto;pardo,17,153,0.008341942148760332,1.76,0.1,0.19318181818181818,7.331491600203635,0.006775680199943346,0.34,0.18433734939759036
DM_peso_familia_500520,s,42,880,50,830,117,4,98.0,0.4,cod_calcamento_domic_fam=total@cod_iluminacao_domic_fam_eq=eletricidade@racacor_cidacs_M=preto;pardo@cod_sabe_ler_escrever_memb_eq_M=s,11,54,0.008303202479338844,2.9784615384615387,0.16923076923076924,0.07386363636363637,16.549525861823888,4.739583497992417E-5,0.22,0.06506024096385542
DM_peso_familia_500520,s,42,880,50,830,117,5,98.0,0.4,cod_material_piso_fam=cepeca@qtd_comodos_dormitorio_fam=[2;3]@val_desp_gas_fam_eq=>= 45@locnasc=hospital@tpnascassi=medico,13,89,0.008186983471074378,2.243137254901961,0.12745098039215685,0.1159090909090909,10.740718203222688,0.0010480365191255503,0.26,0.10722891566265061
DM_peso_familia_500520,s,42,880,50,830,117,6,98.0,0.4,cod_material_domic_fam_eq=tijolo;alvenaria@qtd_comodos_dormitorio_fam=[2;3]@locnasc=hospital@primeiraGestacao=s,13,96,0.007735020661157026,2.0990825688073396,0.11926605504587157,0.12386363636363637,9.053309013012747,0.002622198094257455,0.26,0.11566265060240964
DM_peso_familia_500520,s,42,880,50,830,117,7,98.0,0.4,cod_abaste_agua_domic_fam_eq=redePublica@cod_agua_canalizada_fam=s@cod_material_domic_fam_eq=tijolo;alvenaria@cod_material_piso_fam=cepeca@qtd_comodos_domic_fam_eq=[4a3]@qtd_comodos_dormitorio_fam=[2;3]@locnasc=hospital,13,100,0.007476756198347108,2.0247787610619468,0.11504424778761062,0.12840909090909092,8.201964693238923,0.004184505289730467,0.26,0.12048192771084337
DM_peso_familia_500520,s,42,880,50,830,117,8,98.0,0.4,hh_income_exp=(0;185]@ses_5cat=Middle@age_M=[20;40),8,30,0.006637396694214875,3.7052631578947364,0.21052631578947367,0.04318181818181818,17.50915249948412,2.859279230249534E-5,0.16,0.03614457831325301
DM_peso_familia_500520,s,42,880,50,830,117,9,98.0,0.4,female=n@qtd_comodos_domic_fam_eq=[4a3]@qtd_comodos_dormitorio_fam=[2;3]@val_desp_aluguel_fam_eq=0,11,83,0.006430785123966942,2.0595744680851067,0.11702127659574468,0.10681818181818181,7.117752152022088,0.00763243435684724,0.22,0.1
