base,alvo,A,D,Dp,Dn,I,id,SUPP,itemDom,desc,TP,FP,quali,lift,conf,cov,chi,pvalue,sup_p,sup_n
DM_peso_familia_354680,s,42,907,76,831,113,0,97.36842105263158,0.4,female=s@qtd_familias_domic_fam=<=1@locnasc=hospital@social_assistence_M=n,49,335,0.018548615509166116,1.5228549890350878,0.12760416666666666,0.42337375964718854,16.649910517774586,4.495242910884656E-5,0.6447368421052632,0.40312876052948254
DM_peso_familia_354680,s,42,907,76,831,113,1,97.36842105263158,0.4,qtd_familias_domic_fam=<=1@consultas=4-6@cod_sabe_ler_escrever_memb_eq_M=s@social_assistence_M=n,29,151,0.015344332759171898,1.922733918128655,0.16111111111111112,0.19845644983461963,17.486823212986415,2.893058760566891E-5,0.3815789473684211,0.18170878459687123
DM_peso_familia_354680,s,42,907,76,831,113,2,97.36842105263158,0.4,female=s@qtd_comodos_domic_fam_eq=[4a3]@qtd_comodos_dormitorio_fam=<=1,25,126,0.013613339346428431,1.9758626699198325,0.16556291390728478,0.16648291069459759,15.778016921462653,7.122528881842172E-5,0.32894736842105265,0.15162454873646208
DM_peso_familia_354680,s,42,907,76,831,113,3,97.36842105263158,0.4,cod_iluminacao_domic_fam_eq=eletricidade@qtd_comodos_domic_fam_eq=[4a3]@social_assistence_M=n,44,338,0.013220705306880576,1.3746211077431798,0.11518324607329843,0.4211686879823594,8.470487433861777,0.003609546953151077,0.5789473684210527,0.40673886883273164
DM_peso_familia_354680,s,42,907,76,831,113,4,97.36842105263158,0.4,cod_abaste_agua_domic_fam_eq=redePublica@qtd_familias_domic_fam=<=1@val_desp_agua_esgoto_fam_eq=(17;40)@cct_M=n@social_assistence_M=n,31,213,0.011636797710809835,1.5162316652286454,0.12704918032786885,0.269018743109151,8.135522191963886,0.004340634466225346,0.40789473684210525,0.2563176895306859
DM_peso_familia_354680,s,42,907,76,831,113,5,97.36842105263158,0.4,cod_agua_canalizada_fam=s@val_desp_gas_fam_eq=(24;45)@val_desp_transpor_fam_eq=0@tpnascassi=medico,26,156,0.011851956302141009,1.7048872180451127,0.14285714285714285,0.20066152149944874,10.34647726623917,0.0012972200865274397,0.34210526315789475,0.18772563176895307
DM_peso_familia_354680,s,42,907,76,831,113,6,97.36842105263158,0.4,cod_agua_canalizada_fam=s@cod_material_domic_fam_eq=tijolo;alvenaria@val_desp_gas_fam_eq=(24;45)@primeiraGestacao=s,16,69,0.009787892527675838,2.246439628482972,0.18823529411764706,0.09371554575523705,13.32629614440172,2.617099463668726E-4,0.21052631578947367,0.08303249097472924
DM_peso_familia_354680,s,42,907,76,831,113,7,97.36842105263158,0.4,cod_destino_lixo_domic_fam_eq=coletado@cod_material_domic_fam_eq=tijolo;alvenaria@val_desp_gas_fam_eq=(24;45),52,463,0.00975385614034661,1.2050076647930505,0.10097087378640776,0.5678059536934951,4.580165962405723,0.0323440820646228,0.6842105263157895,0.5571600481347774
DM_peso_familia_354680,s,42,907,76,831,113,8,97.36842105263158,0.4,cod_material_piso_fam=maci@val_desp_gas_fam_eq=(24;45)@csection=Natural,19,126,0.007552431231302781,1.563793103448276,0.1310344827586207,0.15986769570011025,5.0173269760270385,0.025094879638055234,0.25,0.15162454873646208
DM_peso_familia_354680,s,42,907,76,831,113,9,97.36842105263158,0.4,cod_escoa_sanitario_domic_fam_eq=redeColet@val_desp_energia_fam_eq=(20;65)@tpnascassi=medico,11,44,0.007046747762411431,2.386842105263158,0.2,0.06063947078280044,10.299045752867107,0.0013309901872368135,0.14473684210526316,0.052948255114320095

DM_peso_familia_354680,n,42,907,831,76,119,0,95.0661853188929,0.5,consultas=>6@cod_sabe_ler_escrever_memb_eq_M=s,562,31,0.020605385772060763,1.0343985080654161,0.9477234401349073,0.6538037486218302,22.16149107302637,2.506512025268748E-6,0.6762936221419976,0.40789473684210525
DM_peso_familia_354680,n,42,907,831,76,119,1,95.0661853188929,0.5,female=n,424,23,0.015937538366909823,1.035296144641237,0.9485458612975392,0.4928335170893054,12.006016917015796,5.302906831013976E-4,0.5102286401925391,0.3026315789473684
DM_peso_familia_354680,n,42,907,831,76,119,2,95.0661853188929,0.5,qtd_comodos_domic_fam_eq=[2a1]@consultas=>6,222,8,0.012428143716214321,1.053492387380317,0.9652173913043478,0.2535832414553473,9.640905988081316,0.0019029135368109351,0.26714801444043323,0.10526315789473684
DM_peso_familia_354680,n,42,907,831,76,119,3,95.0661853188929,0.5,female=n@val_desp_alimentacao_fam_eq=(100;300),167,5,0.010377451379628483,1.0597277026837937,0.9709302325581395,0.18963616317530319,8.27918234541842,0.004010218348646788,0.2009626955475331,0.06578947368421052
