base,alvo,A,D,Dp,Dn,I,id,SUPP,itemDom,desc,TP,FP,quali,lift,conf,cov,chi,pvalue,sup_p,sup_n
DM_peso_familia_231350,s,42,2795,169,2626,115,0,94.67455621301775,0.3,cod_especie_domic_fam_eq=partPerm@female=s@qtd_familias_domic_fam=<=1@val_desp_aluguel_fam_eq=0@cct_M=n,88,972,0.008553480051587134,1.3730043541364298,0.0830188679245283,0.37924865831842575,15.290017555939718,9.22024747695982E-5,0.5207100591715976,0.37014470677837014
DM_peso_familia_231350,s,42,2795,169,2626,115,1,94.67455621301775,0.3,cod_especie_domic_fam_eq=partPerm@cod_material_domic_fam_eq=tijolo;alvenaria@female=s@estcivmae=solteira@social_assistence_M=n,46,393,0.006960935224861673,1.7329595233923252,0.10478359908883828,0.15706618962432917,18.006239122670827,2.2018214665187053E-5,0.27218934911242604,0.14965727341964966
DM_peso_familia_231350,s,42,2795,169,2626,115,2,94.67455621301775,0.3,cod_escoa_sanitario_domic_fam_eq=fossaRud@cod_material_domic_fam_eq=tijolo;alvenaria@qtd_familias_domic_fam=<=1@consultas=4-6@cct_M=n,51,481,0.006737945667096558,1.5854540196645461,0.09586466165413533,0.19033989266547405,14.493939953344988,1.4061115993235784E-4,0.30177514792899407,0.18316831683168316
DM_peso_familia_231350,s,42,2795,169,2626,115,3,94.67455621301775,0.3,cod_escoa_sanitario_domic_fam_eq=fossaRud@cct_M=n,100,1253,0.006508299704622043,1.2223548808914662,0.07390983000739099,0.48407871198568875,8.344487441707866,0.0038685928522915747,0.591715976331361,0.47715156130997716
DM_peso_familia_231350,s,42,2795,169,2626,115,4,94.67455621301775,0.3,cod_especie_domic_fam_eq=partPerm@cod_material_domic_fam_eq=tijolo;alvenaria@val_desp_aluguel_fam_eq=0@consultas=4-6,76,889,0.0063152639680492595,1.3025109605420486,0.07875647668393783,0.34525939177101966,8.680250287408763,0.0032167680710272206,0.44970414201183434,0.33853769992383853
DM_peso_familia_231350,s,42,2795,169,2626,115,5,94.67455621301775,0.3,cod_banheiro_domic_fam=s@cod_destino_lixo_domic_fam_eq=naoColetado@val_desp_gas_fam_eq=(0;24]@val_desp_transpor_fam_eq=0,34,285,0.005263552023963058,1.7627200385821074,0.10658307210031348,0.11413237924865832,13.4816842325701,2.409034670828314E-4,0.20118343195266272,0.10853008377760853
DM_peso_familia_231350,s,42,2795,169,2626,115,6,94.67455621301775,0.3,cod_agua_canalizada_fam=n@cod_destino_lixo_domic_fam_eq=naoColetado@cod_iluminacao_domic_fam_eq=eletricidade@hh_income_exp=(185;512)@cod_sabe_ler_escrever_memb_eq_M=s,35,312,0.005015600948537672,1.6681445355796942,0.10086455331412104,0.12415026833631485,11.382369981785427,7.414445684128523E-4,0.20710059171597633,0.1188118811881188
DM_peso_familia_231350,s,42,2795,169,2626,115,7,94.67455621301775,0.3,cod_agua_canalizada_fam=n@val_desp_gas_fam_eq=(0;24]@mesprenat=[1;3]@cod_sabe_ler_escrever_memb_eq_M=s,40,393,0.0049440445979115535,1.5278024515899806,0.09237875288683603,0.15491949910554562,9.185961152380427,0.0024387843282704935,0.23668639053254437,0.14965727341964966
DM_peso_familia_231350,s,42,2795,169,2626,115,8,94.67455621301775,0.3,cod_parentesco_rf_pessoa_eq=Son/daughter@qtd_comodos_domic_fam_eq=[4a3]@qtd_comodos_dormitorio_fam=<=1,68,830,0.004902442068477764,1.2523556621552168,0.0757238307349666,0.32128801431127013,5.4226167087230115,0.019877547933719764,0.40236686390532544,0.31607006854531605
DM_peso_familia_231350,s,42,2795,169,2626,115,9,94.67455621301775,0.3,val_desp_gas_fam_eq=(0;24]@hh_income_exp=(185;512)@cod_sabe_ler_escrever_memb_eq_M=s,32,292,0.004439821941174023,1.6334283000949668,0.09876543209876543,0.11592128801431127,9.463264641136538,0.0020962765414107576,0.1893491124260355,0.11119573495811119
