base,alvo,A,D,Dp,Dn,I,id,SUPP,itemDom,desc,TP,FP,quali,lift,conf,cov,chi,pvalue,sup_p,sup_n
DM_peso_familia_420425,s,42,175,19,156,102,0,100.0,0.4,cod_abaste_agua_domic_fam_eq=redePublica@cod_parentesco_rf_pessoa_eq=Son/daughter@val_desp_alimentacao_fam_eq=>= 300@val_desp_transpor_fam_eq=0@csection=C-section@racacor_cidacs_M=branco,13,26,0.05008979591836735,3.0701754385964914,0.3333333333333333,0.22285714285714286,26.194315445476434,3.087300139981153E-7,0.6842105263157895,0.16666666666666666
DM_peso_familia_420425,s,42,175,19,156,102,1,100.0,0.4,cod_abaste_agua_domic_fam_eq=redePublica@val_desp_alimentacao_fam_eq=>= 300@csection=C-section@racacor_cidacs_M=branco,13,44,0.03892244897959184,2.1006463527239148,0.22807017543859648,0.32571428571428573,12.472556995774049,4.1297439948673187E-4,0.6842105263157895,0.28205128205128205
DM_peso_familia_420425,s,42,175,19,156,102,2,100.0,0.4,cod_parentesco_rf_pessoa_eq=Son/daughter@female=s@val_desp_alimentacao_fam_eq=>= 300@val_desp_transpor_fam_eq=0@racacor_cidacs_M=branco,12,39,0.03693061224489796,2.1671826625387,0.23529411764705882,0.2914285714285714,11.942443573354641,5.486946726077635E-4,0.631578947368421,0.25
DM_peso_familia_420425,s,42,175,19,156,102,3,100.0,0.4,cod_parentesco_rf_pessoa_eq=Son/daughter@female=s@val_desp_gas_fam_eq=>= 45@val_desp_transpor_fam_eq=0@csection=C-section,8,13,0.03268571428571428,3.5087719298245617,0.38095238095238093,0.12,18.29312865497076,1.893890658366537E-5,0.42105263157894735,0.08333333333333333
DM_peso_familia_420425,s,42,175,19,156,102,4,100.0,0.4,cod_parentesco_rf_pessoa_eq=Son/daughter@val_desp_gas_fam_eq=>= 45@val_desp_transpor_fam_eq=0@racacor_cidacs_M=branco,12,46,0.032587755102040816,1.9056261343012706,0.20689655172413793,0.3314285714285714,8.665768373642168,0.003242432539529161,0.631578947368421,0.2948717948717949
DM_peso_familia_420425,s,42,175,19,156,102,5,100.0,0.4,cod_destino_lixo_domic_fam_eq=coletado@cod_escoa_sanitario_domic_fam_eq=fossaSept@cod_material_piso_fam=maci@val_desp_energia_fam_eq=(20;65)@consultas=4-6@cod_sabe_ler_escrever_memb_eq_M=s@bf_baby=n,9,15,0.03653877551020409,3.4539473684210527,0.375,0.13714285714285715,20.400078256964367,6.2827226053885354E-6,0.47368421052631576,0.09615384615384616
DM_peso_familia_420425,s,42,175,19,156,102,6,100.0,0.4,cod_calcamento_domic_fam=total@cod_escoa_sanitario_domic_fam_eq=fossaSept@cod_material_domic_fam_eq=tijolo;alvenaria@cod_material_piso_fam=maci@estcivmae=casada/uniEstavel@cod_sabe_ler_escrever_memb_eq_M=s,8,9,0.03516734693877551,4.3343653250774,0.47058823529411764,0.09714285714285714,25.496774774584672,4.4312305003124663E-7,0.42105263157894735,0.057692307692307696
DM_peso_familia_420425,s,42,175,19,156,102,7,100.0,0.4,cod_calcamento_domic_fam=total@cod_escoa_sanitario_domic_fam_eq=fossaSept@cod_material_piso_fam=maci@qtd_familias_domic_fam=<=1@estcivmae=casada/uniEstavel,8,20,0.028342857142857142,2.631578947368421,0.2857142857142857,0.16,10.807467386414757,0.00101091501545858,0.42105263157894735,0.1282051282051282
DM_peso_familia_420425,s,42,175,19,156,102,8,100.0,0.4,cod_calcamento_domic_fam=total@cod_iluminacao_domic_fam_eq=eletricidade@cod_material_domic_fam_eq=tijolo;alvenaria@cod_material_piso_fam=maci@cod_sabe_ler_escrever_memb_eq_M=s,11,46,0.027493877551020406,1.7774699907663896,0.19298245614035087,0.32571428571428573,6.22339217402366,0.012607333874957938,0.5789473684210527,0.2948717948717949
DM_peso_familia_420425,s,42,175,19,156,102,9,100.0,0.4,cod_escoa_sanitario_domic_fam_eq=fossaSept@cod_material_domic_fam_eq=tijolo;alvenaria@val_desp_energia_fam_eq=(20;65)@locnasc=hospital@consultas=4-6@mesprenat=[1;3]@bf_baby=n,6,6,0.026840816326530615,4.605263157894737,0.5,0.06857142857142857,20.395513027495596,6.297728300519445E-6,0.3157894736842105,0.038461538461538464

DM_peso_familia_420425,n,42,175,156,19,99,0,90.38461538461539,0.3,val_desp_alimentacao_fam_eq=>= 300@val_desp_medicamentos_fam_eq=0@csection=Natural@hh_income_exp=>= 512,45,0,0.027918367346938765,1.1217948717948718,1.0,0.2571428571428571,7.377958579881658,0.006602807667966726,0.28846153846153844,0.0
DM_peso_familia_420425,n,42,175,156,19,99,1,90.38461538461539,0.3,estcivmae=solteira@hh_income_exp=>= 512@cod_sabe_ler_escrever_memb_eq_M=s,86,5,0.027885714285714257,1.0601577909270217,0.945054945054945,0.52,5.633196650403128,0.01762346499261036,0.5512820512820513,0.2631578947368421
