base,alvo,A,D,Dp,Dn,I,id,SUPP,itemDom,desc,TP,FP,quali,lift,conf,cov,chi,pvalue,sup_p,sup_n
DM_peso_familia_317080,s,42,876,54,822,108,0,96.29629629629629,0.5,cod_abaste_agua_domic_fam_eq=redePublica@cod_iluminacao_domic_fam_eq=eletricidade@cod_material_domic_fam_eq=tijolo;alvenaria@val_desp_transpor_fam_eq=0@racacor_cidacs_M=preto;pardo@cod_sabe_ler_escrever_memb_eq_M=s@primeiraGestacao=s,24,149,0.015223306436479638,2.2504816955684004,0.13872832369942195,0.19748858447488585,22.144786851699056,2.528416207625561E-6,0.4444444444444444,0.18126520681265207
DM_peso_familia_317080,s,42,876,54,822,108,1,96.29629629629629,0.5,cod_abaste_agua_domic_fam_eq=redePublica@cod_agua_canalizada_fam=s@cod_iluminacao_domic_fam_eq=eletricidade@qtd_familias_domic_fam=<=1@consultas=4-6,22,125,0.014769812973040596,2.4278155706727134,0.14965986394557823,0.1678082191780822,23.657022468421513,1.151250311415275E-6,0.4074074074074074,0.15206812652068127
DM_peso_familia_317080,s,42,876,54,822,108,2,96.29629629629629,0.5,cod_abaste_agua_domic_fam_eq=redePublica@val_desp_transpor_fam_eq=0@consultas=4-6@primeiraGestacao=s,14,35,0.01253362106711703,4.634920634920635,0.2857142857142857,0.05593607305936073,45.05121257322072,1.9194867917349256E-11,0.25925925925925924,0.04257907542579075
DM_peso_familia_317080,s,42,876,54,822,108,3,96.29629629629629,0.5,cod_abaste_agua_domic_fam_eq=redePublica@cod_material_domic_fam_eq=tijolo;alvenaria@racacor_cidacs_M=preto;pardo@cod_sabe_ler_escrever_memb_eq_M=s,49,616,0.009140238944142114,1.1953216374269005,0.07368421052631578,0.7591324200913242,6.919360392887294,0.008526746839302102,0.9074074074074074,0.7493917274939172
DM_peso_familia_317080,s,42,876,54,822,108,4,96.29629629629629,0.5,cod_abaste_agua_domic_fam_eq=redePublica@cod_iluminacao_domic_fam_eq=eletricidade@qtd_comodos_domic_fam_eq=[2a1]@val_desp_energia_fam_eq=(20;65)@val_desp_transpor_fam_eq=0,12,57,0.008843122537061363,2.8212560386473435,0.17391304347826086,0.07876712328767123,16.320881591060765,5.3471468594579186E-5,0.2222222222222222,0.06934306569343066
DM_peso_familia_317080,s,42,876,54,822,108,5,96.29629629629629,0.5,val_desp_medicamentos_fam_eq=0@escolaridade_eq_M=ate5Ano@age_M=< 20,13,76,0.008577281541252266,2.369538077403246,0.14606741573033707,0.10159817351598173,12.206454755825522,4.762445062753695E-4,0.24074074074074073,0.09245742092457421
DM_peso_familia_317080,s,42,876,54,822,108,6,96.29629629629629,0.5,val_desp_medicamentos_fam_eq=0@tpnascassi=medico@escolaridade_eq_M=ate5Ano,14,94,0.008381810220804402,2.102880658436214,0.12962962962962962,0.1232876712328767,9.843411132137813,0.0017044114289426204,0.25925925925925924,0.11435523114355231
DM_peso_familia_317080,s,42,876,54,822,108,7,96.29629629629629,0.5,val_desp_gas_fam_eq=>= 45@tpnascassi=medico@escolaridade_eq_M=ate5Ano,10,36,0.008178520047538624,3.526570048309179,0.21739130434782608,0.05251141552511415,20.359564057563173,6.417154839288841E-6,0.18518518518518517,0.043795620437956206
DM_peso_familia_317080,s,42,876,54,822,108,8,96.29629629629629,0.5,qtd_comodos_dormitorio_fam=<=1@mesprenat=[1;3],20,195,0.0077015700256458375,1.509043927648579,0.09302325581395349,0.2454337899543379,4.850355504387875,0.027640434895943367,0.37037037037037035,0.23722627737226276
DM_peso_familia_317080,s,42,876,54,822,108,9,96.29629629629629,0.5,estcivmae=casada/uniEstavel@csection=C-section,22,231,0.00731062738475011,1.4106280193236713,0.08695652173913043,0.2888127853881279,3.9405394840979775,0.04713565905272177,0.4074074074074074,0.28102189781021897

DM_peso_familia_317080,n,42,876,822,54,111,0,92.57907542579076,0.4,qtd_comodos_dormitorio_fam=[2;3]@val_desp_transpor_fam_eq=0@consultas=>6,368,10,0.015184212172390054,1.0375004827559573,0.9735449735449735,0.4315068493150685,14.233717371836757,1.6145163283254327E-4,0.44768856447688565,0.18518518518518517
DM_peso_familia_317080,n,42,876,822,54,111,1,92.57907542579076,0.4,locnasc=hospital@primeiraGestacao=n,415,17,0.010993307061987872,1.023756420654231,0.9606481481481481,0.4931506849315068,7.322256766092936,0.006810583765655798,0.5048661800486618,0.3148148148148148
DM_peso_familia_317080,n,42,876,822,54,111,2,92.57907542579076,0.4,cod_material_piso_fam=cepeca@qtd_familias_domic_fam=<=1@consultas=>6,334,13,0.009578094701945344,1.025768316540104,0.962536023054755,0.3961187214611872,5.80801942431958,0.01595325148274218,0.40632603406326034,0.24074074074074073
DM_peso_familia_317080,n,42,876,822,54,111,3,92.57907542579076,0.4,qtd_comodos_dormitorio_fam=[2;3]@age_M=[20;40),374,16,0.009179333208231714,1.0219726745274191,0.958974358974359,0.4452054794520548,5.166261048968089,0.023029732187557772,0.45498783454987834,0.2962962962962963
DM_peso_familia_317080,n,42,876,822,54,111,4,92.57907542579076,0.4,escolaridade_eq_M=ate9ano@primeiraGestacao=n,203,6,0.007857947082004125,1.0350993608773094,0.9712918660287081,0.23858447488584475,5.147555443805706,0.023279123375828936,0.24695863746958638,0.1111111111111111
DM_peso_familia_317080,n,42,876,822,54,111,5,92.57907542579076,0.4,cod_parentesco_rf_pessoa_eq=Son/daughter@qtd_comodos_domic_fam_eq=[4a3]@csection=Natural@bf_baby=n,210,5,0.009421717645587035,1.0409098625021218,0.9767441860465116,0.2454337899543379,7.258973383760264,0.007054760806067817,0.25547445255474455,0.09259259259259259
DM_peso_familia_317080,n,42,876,822,54,111,6,92.57907542579076,0.4,cod_parentesco_rf_pessoa_eq=Son/daughter@qtd_comodos_domic_fam_eq=[4a3]@csection=Natural,235,7,0.00903859385750923,1.034867587621403,0.9710743801652892,0.2762557077625571,6.188025203354298,0.012861763477090338,0.28588807785888076,0.12962962962962962
DM_peso_familia_317080,n,42,876,822,54,111,7,92.57907542579076,0.4,cod_material_domic_fam_eq=tijolo;alvenaria@qtd_comodos_domic_fam_eq=[4a3]@val_desp_energia_fam_eq=(20;65)@csection=Natural@bf_baby=n,128,1,0.007936135610183276,1.0574322412719968,0.9922480620155039,0.14726027397260275,7.595612524852487,0.0058510513425980015,0.15571776155717762,0.018518518518518517
DM_peso_familia_317080,n,42,876,822,54,111,8,92.57907542579076,0.4,estcivmae=casada/uniEstavel@partoNormalApenas=s,194,6,0.007224620003753048,1.0337226277372265,0.97,0.228310502283105,4.486506284282812,0.0341634281439962,0.2360097323600973,0.1111111111111111
DM_peso_familia_317080,n,42,876,822,54,111,9,92.57907542579076,0.4,qtd_comodos_domic_fam_eq=[4a3]@partoNormalApenas=s,161,4,0.00704478638894101,1.0398584383985845,0.9757575757575757,0.18835616438356165,4.916285173539788,0.026604663273877227,0.19586374695863748,0.07407407407407407
