base,alvo,A,D,Dp,Dn,I,id,SUPP,itemDom,desc,TP,FP,quali,lift,conf,cov,chi,pvalue,sup_p,sup_n
DM_peso_familia_292670,s,42,468,36,432,107,0,100.0,0.5,cod_agua_canalizada_fam=s@cod_banheiro_domic_fam=s@qtd_comodos_domic_fam_eq=[6a5]@qtd_comodos_dormitorio_fam=[2;3]@val_desp_energia_fam_eq=(0;20]@cod_sabe_ler_escrever_memb_eq_M=s,24,130,0.025969756738987507,2.0259740259740258,0.15584415584415584,0.32905982905982906,20.133923401439326,7.220459016021863E-6,0.6666666666666666,0.30092592592592593
DM_peso_familia_292670,s,42,468,36,432,107,1,100.0,0.5,cod_agua_canalizada_fam=s@cod_banheiro_domic_fam=s@qtd_comodos_domic_fam_eq=[6a5]@qtd_comodos_dormitorio_fam=[2;3]@val_desp_agua_esgoto_fam_eq=(0;17]@val_desp_energia_fam_eq=(0;20]@bf_baby=n,14,36,0.021696252465483234,3.64,0.28,0.10683760683760683,32.513684210526314,1.1835621149813846E-8,0.3888888888888889,0.08333333333333333
DM_peso_familia_292670,s,42,468,36,432,107,2,100.0,0.5,cod_agua_canalizada_fam=s@cod_especie_domic_fam_eq=partPerm@cod_material_piso_fam=cepeca@qtd_comodos_domic_fam_eq=[6a5]@qtd_comodos_dormitorio_fam=[2;3]@val_desp_agua_esgoto_fam_eq=(0;17]@val_desp_energia_fam_eq=(0;20],13,43,0.0185733070348455,3.0178571428571423,0.23214285714285715,0.11965811965811966,21.58421463245493,3.3862740148604686E-6,0.3611111111111111,0.09953703703703703
DM_peso_familia_292670,s,42,468,36,432,107,3,100.0,0.5,cod_agua_canalizada_fam=s@cod_banheiro_domic_fam=s@cod_calcamento_domic_fam=nExiste@qtd_comodos_domic_fam_eq=[6a5]@bf_baby=n,20,136,0.01709401709401709,1.6666666666666667,0.1282051282051282,0.3333333333333333,8.666666666666666,0.0032408345715186915,0.5555555555555556,0.3148148148148148
DM_peso_familia_292670,s,42,468,36,432,107,4,100.0,0.5,cod_agua_canalizada_fam=s@cod_especie_domic_fam_eq=partPerm@cod_material_piso_fam=cepeca@qtd_comodos_domic_fam_eq=[6a5]@cod_sabe_ler_escrever_memb_eq_M=s,25,201,0.016272189349112426,1.4380530973451324,0.11061946902654868,0.4829059829059829,6.988938053097347,0.008201499971174142,0.6944444444444444,0.4652777777777778
DM_peso_familia_292670,s,42,468,36,432,107,5,100.0,0.5,cod_parentesco_rf_pessoa_eq=Son/daughter@female=s@locnasc=hospital@csection=Natural@primeiraGestacao=n,10,41,0.012984878369493753,2.549019607843137,0.19607843137254902,0.10897435897435898,11.444914656510086,7.168992573048927E-4,0.2777777777777778,0.09490740740740741
DM_peso_familia_292670,s,42,468,36,432,107,6,100.0,0.5,cod_abaste_agua_domic_fam_eq=redePublica@cod_material_domic_fam_eq=tijolo;alvenaria@locnasc=hospital@perdaFetalAnterior=s,8,25,0.011669953977646285,3.151515151515152,0.24242424242424243,0.07051282051282051,13.695506792058515,2.1496819006838752E-4,0.2222222222222222,0.05787037037037037
DM_peso_familia_292670,s,42,468,36,432,107,7,100.0,0.5,cod_abaste_agua_domic_fam_eq=redePublica@cod_material_domic_fam_eq=tijolo;alvenaria@female=s@csection=Natural,9,39,0.011341222879684417,2.4375,0.1875,0.10256410256410256,9.210267857142854,0.002406614784040695,0.25,0.09027777777777778
DM_peso_familia_292670,s,42,468,36,432,107,8,100.0,0.5,qtd_familias_domic_fam=<=1@locnasc=hospital@csection=Natural@perdaFetalAnterior=s,7,17,0.01101249178172255,3.7916666666666665,0.2916666666666667,0.05128205128205128,16.42933558558558,5.0497652019365624E-5,0.19444444444444445,0.03935185185185185
DM_peso_familia_292670,s,42,468,36,432,107,9,100.0,0.5,female=s@locnasc=hospital@primeiraGestacao=n,13,89,0.011012491781722549,1.6568627450980389,0.12745098039215685,0.21794871794871795,4.689569270331083,0.030346253539206725,0.3611111111111111,0.20601851851851852
