base,alvo,A,D,Dp,Dn,I,id,SUPP,itemDom,desc,TP,FP,quali,lift,conf,cov,chi,pvalue,sup_p,sup_n
DM_peso_familia_320050,s,42,255,15,240,103,0,100.0,0.4,cod_agua_canalizada_fam=s@cod_banheiro_domic_fam=s@cod_parentesco_rf_pessoa_eq=Son/daughter@val_desp_transpor_fam_eq=0@racacor_cidacs_M=preto;pardo@cod_sabe_ler_escrever_memb_eq_M=s@social_assistence_M=n@bf_baby=n,9,44,0.02306805074971165,2.8867924528301887,0.16981132075471697,0.20784313725490197,14.886512236129274,1.1417642747824086E-4,0.6,0.18333333333333332
DM_peso_familia_320050,s,42,255,15,240,103,1,100.0,0.4,cod_iluminacao_domic_fam_eq=eletricidade@cod_parentesco_rf_pessoa_eq=Son/daughter@csection=Natural@racacor_cidacs_M=preto;pardo@cod_sabe_ler_escrever_memb_eq_M=s,7,31,0.018685121107266438,3.1315789473684212,0.18421052631578946,0.14901960784313725,12.680807361144796,3.69428020183471E-4,0.4666666666666667,0.12916666666666668
DM_peso_familia_320050,s,42,255,15,240,103,2,100.0,0.4,cod_parentesco_rf_pessoa_eq=Son/daughter@qtd_comodos_dormitorio_fam=[2;3]@racacor_cidacs_M=preto;pardo,10,80,0.01845444059976932,1.8888888888888886,0.1111111111111111,0.35294117647058826,6.868686868686869,0.008771908356566716,0.6666666666666666,0.3333333333333333
DM_peso_familia_320050,s,42,255,15,240,103,3,100.0,0.4,cod_agua_canalizada_fam=s@female=s@csection=Natural@racacor_cidacs_M=preto;pardo@social_assistence_M=n,5,9,0.01637831603229527,6.071428571428572,0.35714285714285715,0.054901960784313725,23.81177756372259,1.062304713528306E-6,0.3333333333333333,0.0375
DM_peso_familia_320050,s,42,255,15,240,103,4,100.0,0.4,val_desp_energia_fam_eq=(0;20]@primeiraGestacao=s,5,12,0.01568627450980392,5.0,0.29411764705882354,0.06666666666666667,18.214285714285715,1.973926892029354E-5,0.3333333333333333,0.05
DM_peso_familia_320050,s,42,255,15,240,103,5,100.0,0.4,cod_material_piso_fam=cepeca@val_desp_aluguel_fam_eq=0@estcivmae=casada/uniEstavel@perdaFetalAnterior=s,4,7,0.01314878892733564,6.181818181818182,0.36363636363636365,0.043137254901960784,19.292450633383012,1.1214889997668287E-5,0.26666666666666666,0.029166666666666667
DM_peso_familia_320050,s,42,255,15,240,103,6,100.0,0.4,cod_material_piso_fam=cepeca@qtd_comodos_domic_fam_eq=[6a5]@val_desp_aluguel_fam_eq=0@estcivmae=casada/uniEstavel,8,73,0.012687427912341405,1.6790123456790125,0.09876543209876543,0.3176470588235294,3.4206710302256282,0.06438483736761635,0.5333333333333333,0.30416666666666664
DM_peso_familia_320050,s,42,255,15,240,103,7,100.0,0.4,val_desp_aluguel_fam_eq=0@consultas=4-6,7,64,0.011072664359861591,1.676056338028169,0.09859154929577464,0.2784313725490196,2.810777709736681,0.09363297358623712,0.4666666666666667,0.26666666666666666
DM_peso_familia_320050,s,42,255,15,240,103,8,100.0,0.4,cod_material_piso_fam=cepeca@val_desp_aluguel_fam_eq=0@ses_5cat=Richest@perdaFetalAnterior=s,3,2,0.010611303344867358,10.2,0.6,0.0196078431372549,26.979000000000003,2.0567794545289786E-7,0.2,0.008333333333333333
DM_peso_familia_320050,s,42,255,15,240,103,9,100.0,0.4,cod_material_piso_fam=cepeca@estcivmae=casada/uniEstavel@hh_income_exp=>= 512,4,19,0.010380622837370242,2.956521739130435,0.17391304347826086,0.09019607843137255,6.048245408545728,0.013920122673781399,0.26666666666666666,0.07916666666666666
