base,alvo,A,D,Dp,Dn,I,id,SUPP,itemDom,desc,TP,FP,quali,lift,conf,cov,chi,pvalue,sup_p,sup_n
DM_peso_familia_270270,s,42,246,19,227,103,0,100.0,0.4,cod_parentesco_rf_pessoa_eq=Son/daughter@qtd_comodos_dormitorio_fam=[2;3]@val_desp_transpor_fam_eq=0@estcivmae=casada/uniEstavel@hh_income_exp=(185;512)@cod_sabe_ler_escrever_memb_eq_M=s,11,49,0.02587745389649018,2.373684210526316,0.18333333333333332,0.24390243902439024,12.533575162860972,3.997042896151104E-4,0.5789473684210527,0.21585903083700442
DM_peso_familia_270270,s,42,246,19,227,103,1,100.0,0.4,qtd_comodos_domic_fam_eq=[4a3]@qtd_comodos_dormitorio_fam=[2;3]@val_desp_transpor_fam_eq=0@estcivmae=casada/uniEstavel@cod_sabe_ler_escrever_memb_eq_M=s@social_assistence_M=n,8,23,0.02278736201996166,3.34125636672326,0.25806451612903225,0.12601626016260162,16.273614635979882,5.482204622386799E-5,0.42105263157894735,0.1013215859030837
DM_peso_familia_270270,s,42,246,19,227,103,2,100.0,0.4,cod_especie_domic_fam_eq=partPerm@cod_parentesco_rf_pessoa_eq=Son/daughter@estcivmae=casada/uniEstavel@bf_baby=n,11,75,0.01771432348469826,1.6560587515299878,0.12790697674418605,0.34959349593495936,4.76350675890628,0.029069264967574227,0.5789473684210527,0.3303964757709251
DM_peso_familia_270270,s,42,246,19,227,103,3,100.0,0.4,cod_parentesco_rf_pessoa_eq=Son/daughter@qtd_comodos_dormitorio_fam=[2;3]@val_desp_transpor_fam_eq=0@mesprenat=[1;3]@social_assistence_M=n,9,53,0.0171194394870778,1.8794567062818335,0.14516129032258066,0.25203252032520324,5.366185077958316,0.02053083343469253,0.47368421052631576,0.23348017621145375
DM_peso_familia_270270,s,42,246,19,227,103,4,100.0,0.4,cod_abaste_agua_domic_fam_eq=redePublica@cod_parentesco_rf_pessoa_eq=Son/daughter@estcivmae=casada/uniEstavel@consultas=4-6,7,33,0.015896622380857952,2.2657894736842104,0.175,0.16260162601626016,6.405876791546894,0.011374324304800787,0.3684210526315789,0.14537444933920704
DM_peso_familia_270270,s,42,246,19,227,103,5,100.0,0.4,cod_agua_canalizada_fam=s@cod_destino_lixo_domic_fam_eq=coletado@cod_escoa_sanitario_domic_fam_eq=fossaRud@cod_material_domic_fam_eq=tijolo;alvenaria@female=s@csection=C-section@consultas=>6@racacor_cidacs_M=preto;pardo,7,16,0.021234053803952675,3.940503432494279,0.30434782608695654,0.09349593495934959,18.36238991813213,1.826274936478356E-5,0.3684210526315789,0.07048458149779736
DM_peso_familia_270270,s,42,246,19,227,103,6,100.0,0.4,cod_agua_canalizada_fam=s@cod_material_domic_fam_eq=tijolo;alvenaria@qtd_familias_domic_fam=<=1@val_desp_alimentacao_fam_eq=(100;300)@csection=C-section,8,38,0.01807786370546632,2.2517162471395884,0.17391304347826086,0.18699186991869918,7.419975402977852,0.006450369736110462,0.42105263157894735,0.16740088105726872
DM_peso_familia_270270,s,42,246,19,227,103,7,100.0,0.4,female=s@val_desp_gas_fam_eq=>= 45@csection=C-section@cct_M=n,4,5,0.013434463612928809,5.754385964912281,0.4444444444444444,0.036585365853658534,17.674449045716955,2.6212410925929852E-5,0.21052631578947367,0.022026431718061675
DM_peso_familia_270270,s,42,246,19,227,103,8,100.0,0.4,cod_material_piso_fam=cepeca@val_desp_alimentacao_fam_eq=(100;300)@val_desp_gas_fam_eq=>= 45,6,29,0.013401414501949897,2.219548872180451,0.17142857142857143,0.14227642276422764,5.079802853899682,0.024206122196895552,0.3157894736842105,0.1277533039647577
DM_peso_familia_270270,s,42,246,19,227,103,9,100.0,0.4,age_M=[20;40)@cct_M=n,12,101,0.013302267169013152,1.374941779226828,0.10619469026548672,0.45934959349593496,2.4593329316779413,0.11682838790647487,0.631578947368421,0.44493392070484583

DM_peso_familia_270270,n,42,246,227,19,107,0,99.55947136563876,0.2,qtd_familias_domic_fam=<=1@hh_income_exp=(0;185]@cod_sabe_ler_escrever_memb_eq_M=s,61,0,0.019151959812281058,1.0837004405286343,1.0,0.24796747967479674,6.789236813906417,0.009170910710191937,0.2687224669603524,0.0
DM_peso_familia_270270,n,42,246,227,19,107,1,99.55947136563876,0.2,cod_banheiro_domic_fam=s@estcivmae=solteira,77,2,0.016673276488862455,1.0562649863380358,0.9746835443037974,0.32113821138211385,4.401436280778214,0.035908676501053005,0.3392070484581498,0.10526315789473684
DM_peso_familia_270270,n,42,246,227,19,107,2,99.55947136563876,0.2,qtd_familias_domic_fam=<=1@tpnascassi=medico,105,5,0.01421111772093334,1.0344413295955146,0.9545454545454546,0.44715447154471544,2.8198172171931404,0.09310700551140805,0.46255506607929514,0.2631578947368421
DM_peso_familia_270270,n,42,246,227,19,107,3,99.55947136563876,0.2,val_desp_agua_esgoto_fam_eq=(0;17]@partoNormalApenas=s,68,2,0.013847577500165251,1.0527375707992448,0.9714285714285714,0.2845528455284553,3.25111984004866,0.07137467828365185,0.29955947136563876,0.10526315789473684
DM_peso_familia_270270,n,42,246,227,19,107,4,99.55947136563876,0.2,val_desp_agua_esgoto_fam_eq=(0;17]@racacor_cidacs_M=preto;pardo,162,10,0.013351840835481554,1.0206946009630162,0.9418604651162791,0.6991869918699187,2.9256219375652774,0.0871836243900298,0.7136563876651982,0.5263157894736842
DM_peso_familia_270270,n,42,246,227,19,107,5,99.55947136563876,0.2,cod_escoa_sanitario_domic_fam_eq=fossaRud@val_desp_alimentacao_fam_eq=(0;100],58,1,0.014458986053275185,1.0653326364518778,0.9830508474576272,0.23983739837398374,3.958021389323587,0.04664850441830248,0.2555066079295154,0.05263157894736842
