base,alvo,A,D,Dp,Dn,I,id,SUPP,itemDom,desc,TP,FP,quali,lift,conf,cov,chi,pvalue,sup_p,sup_n
DM_peso_familia_291720,s,42,731,54,677,105,0,98.14814814814815,0.4,qtd_comodos_domic_fam_eq=[6a5]@qtd_comodos_dormitorio_fam=[2;3]@val_desp_alimentacao_fam_eq=>= 300@estcivmae=casada/uniEstavel,19,72,0.016795761666738403,2.8264143264143264,0.2087912087912088,0.12448700410396717,27.655562526921695,1.4495463318553448E-7,0.35185185185185186,0.10635155096011817
DM_peso_familia_291720,s,42,731,54,677,105,1,98.14814814814815,0.4,cod_material_domic_fam_eq=tijolo;alvenaria@qtd_familias_domic_fam=<=1@locnasc=hospital@tpnascassi=medico@escolaridade_eq_M=ate9ano,16,61,0.014106568406002684,2.8128908128908128,0.2077922077922078,0.10533515731874145,22.562059550983527,2.0346329053788637E-6,0.2962962962962963,0.09010339734121123
DM_peso_familia_291720,s,42,731,54,677,105,2,98.14814814814815,0.4,cod_agua_canalizada_fam=s@qtd_comodos_domic_fam_eq=[6a5]@val_desp_alimentacao_fam_eq=>= 300@tpnascassi=medico@cod_sabe_ler_escrever_memb_eq_M=s,15,51,0.013850187420114865,3.076599326599327,0.22727272727272727,0.09028727770177838,24.954574896800658,5.86970811844445E-7,0.2777777777777778,0.07533234859675036
DM_peso_familia_291720,s,42,731,54,677,105,3,98.14814814814815,0.4,cod_material_domic_fam_eq=tijolo;alvenaria@csection=C-section@cod_sabe_ler_escrever_memb_eq_M=s,31,263,0.012697408680648479,1.4273746535651297,0.1054421768707483,0.4021887824897401,7.1648299127771455,0.007434673981928652,0.5740740740740741,0.38847858197932056
DM_peso_familia_291720,s,42,731,54,677,105,4,98.14814814814815,0.4,cod_agua_canalizada_fam=s@cod_calcamento_domic_fam=nExiste@val_desp_alimentacao_fam_eq=>= 300,14,62,0.011471645572936647,2.493664717348928,0.18421052631578946,0.1039671682626539,15.093883902673594,1.0229417656903994E-4,0.25925925925925924,0.0915805022156573
DM_peso_familia_291720,s,42,731,54,677,105,5,98.14814814814815,0.4,cod_abaste_agua_domic_fam_eq=poco;nasce@cod_banheiro_domic_fam=s@val_desp_agua_esgoto_fam_eq=0@social_assistence_M=s,18,108,0.011890837841833516,1.933862433862434,0.14285714285714285,0.17236662106703146,10.590182629688472,0.0011368974610980187,0.3333333333333333,0.15952732644017725
DM_peso_familia_291720,s,42,731,54,677,105,6,98.14814814814815,0.4,cod_escoa_sanitario_domic_fam_eq=fossaRud@val_desp_gas_fam_eq=(0;24]@racacor_cidacs_M=preto;pardo,18,123,0.010375008655197516,1.7281323877068557,0.1276595744680851,0.19288645690834474,7.387717284364261,0.0065670780601720935,0.3333333333333333,0.18168389955686853
DM_peso_familia_291720,s,42,731,54,677,105,7,98.14814814814815,0.4,cod_escoa_sanitario_domic_fam_eq=fossaRud@val_desp_gas_fam_eq=(0;24],23,194,0.009534752723346201,1.4348011606076123,0.10599078341013825,0.2968536251709986,4.653722386527938,0.03098628396132208,0.42592592592592593,0.2865583456425406
DM_peso_familia_291720,s,42,731,54,677,105,8,98.14814814814815,0.4,cod_banheiro_domic_fam=s@cod_escoa_sanitario_domic_fam_eq=fossaRud@cod_material_piso_fam=cepeca@primeiraGestacao=s,9,22,0.009179187852406893,3.9301075268817205,0.2903225806451613,0.04240766073871409,22.169364198245173,2.4962541357309576E-6,0.16666666666666666,0.03249630723781388
DM_peso_familia_291720,s,42,731,54,677,105,9,98.14814814814815,0.4,cod_destino_lixo_domic_fam_eq=naoColetado@cod_escoa_sanitario_domic_fam_eq=fossaRud@cct_M=s,11,54,0.008479286474873728,2.290883190883191,0.16923076923076924,0.08891928864569083,9.482775893468492,0.002074099025118459,0.2037037037037037,0.07976366322008863

DM_peso_familia_291720,n,42,731,677,54,107,0,91.4327917282127,0.3,cod_iluminacao_domic_fam_eq=eletricidade@val_desp_alimentacao_fam_eq=(100;300)@age_M=[20;40)@cct_M=n,274,7,0.018820610037034887,1.0528656360224353,0.9750889679715302,0.3844049247606019,15.993849867495793,6.354858858981238E-5,0.40472673559822747,0.12962962962962962
DM_peso_familia_291720,n,42,731,677,54,107,1,91.4327917282127,0.3,cod_sabe_ler_escrever_memb_eq_M=s@bf_baby=n@primeiraGestacao=n,232,4,0.018377089645389564,1.06146258418246,0.9830508474576272,0.3228454172366621,16.50595748399007,4.849745270529837E-5,0.34268833087149186,0.07407407407407407
DM_peso_familia_291720,n,42,731,677,54,107,2,91.4327917282127,0.3,val_desp_alimentacao_fam_eq=(100;300)@primeiraGestacao=n,248,8,0.014926239003220678,1.0460210487444608,0.96875,0.35020519835841313,10.460962954324922,0.0012192370482332349,0.3663220088626292,0.14814814814814814
DM_peso_familia_291720,n,42,731,677,54,107,3,91.4327917282127,0.3,val_desp_aluguel_fam_eq=0@csection=Natural@escolaridade_eq_M=ate5Ano,150,1,0.013891358089381523,1.0726129104835318,0.9933774834437086,0.20656634746922026,12.580240064928997,3.898466522058719E-4,0.22156573116691286,0.018518518518518517
DM_peso_familia_291720,n,42,731,677,54,107,4,91.4327917282127,0.3,cod_abaste_agua_domic_fam_eq=poco;nasce@escolaridade_eq_M=ate5Ano@age_M=[20;40),164,3,0.012772264442951488,1.0603667111861947,0.9820359281437125,0.22845417236662108,9.888824849332309,0.0016628552916083672,0.24224519940915806,0.05555555555555555
