base,alvo,A,D,Dp,Dn,I,id,SUPP,itemDom,desc,TP,FP,quali,lift,conf,cov,chi,pvalue,sup_p,sup_n
DM_peso_familia_290689,s,42,460,32,428,110,0,96.875,0.4,cod_parentesco_rf_pessoa_eq=Son/daughter@qtd_familias_domic_fam=<=1@val_desp_alimentacao_fam_eq=(100;300)@hh_income_exp=(185;512)@bf_baby=n,16,72,0.021474480151228735,2.6136363636363638,0.18181818181818182,0.19130434782608696,21.184348763486536,4.1715724833357726E-6,0.5,0.16822429906542055
DM_peso_familia_290689,s,42,460,32,428,110,1,96.875,0.4,cod_parentesco_rf_pessoa_eq=Son/daughter@qtd_familias_domic_fam=<=1@val_desp_alimentacao_fam_eq=(100;300)@estcivmae=solteira@hh_income_exp=(185;512),15,62,0.020964083175803408,2.800324675324675,0.19480519480519481,0.1673913043478261,22.410815496696753,2.2013090615891073E-6,0.46875,0.14485981308411214
DM_peso_familia_290689,s,42,460,32,428,110,2,96.875,0.4,val_desp_alimentacao_fam_eq=(100;300)@estcivmae=solteira@mesprenat=[1;3]@hh_income_exp=(185;512)@bf_baby=n,11,27,0.018166351606805294,4.161184210526316,0.2894736842105263,0.08260869565217391,30.948157241999905,2.6501358885155923E-8,0.34375,0.0630841121495327
DM_peso_familia_290689,s,42,460,32,428,110,3,96.875,0.4,cod_parentesco_rf_pessoa_eq=Son/daughter@estcivmae=solteira,22,175,0.018034026465028358,1.6053299492385786,0.1116751269035533,0.4282608695652174,9.439714115484806,0.002123365906636865,0.6875,0.4088785046728972
DM_peso_familia_290689,s,42,460,32,428,110,4,96.875,0.4,qtd_familias_domic_fam=<=1@val_desp_alimentacao_fam_eq=(100;300)@hh_income_exp=(185;512),21,163,0.017826086956521738,1.640625,0.11413043478260869,0.4,9.409803348909653,0.0021582837310114567,0.65625,0.3808411214953271
DM_peso_familia_290689,s,42,460,32,428,110,5,96.875,0.4,cod_iluminacao_domic_fam_eq=eletricidade@cod_material_piso_fam=cepeca@val_desp_agua_esgoto_fam_eq=0@val_desp_energia_fam_eq=(0;20]@racacor_cidacs_M=preto;pardo@cod_sabe_ler_escrever_memb_eq_M=s,11,36,0.01680529300567108,3.3643617021276597,0.23404255319148937,0.10217391304347827,21.879615181102142,2.9030143828823185E-6,0.34375,0.08411214953271028
DM_peso_familia_290689,s,42,460,32,428,110,6,96.875,0.4,cod_banheiro_domic_fam=s@cod_destino_lixo_domic_fam_eq=naoColetado@cod_material_piso_fam=cepeca@racacor_cidacs_M=preto;pardo@cod_sabe_ler_escrever_memb_eq_M=s,12,51,0.01655954631379962,2.738095238095238,0.19047619047619047,0.13695652173913042,16.487743523690703,4.896558657108141E-5,0.375,0.1191588785046729
DM_peso_familia_290689,s,42,460,32,428,110,7,96.875,0.4,cod_banheiro_domic_fam=s@cod_destino_lixo_domic_fam_eq=naoColetado@cod_iluminacao_domic_fam_eq=eletricidade@cod_material_piso_fam=cepeca@val_desp_agua_esgoto_fam_eq=0@val_desp_energia_fam_eq=(0;20],11,56,0.013780718336483932,2.360074626865672,0.16417910447761194,0.14565217391304347,10.846054204968596,9.900649854136523E-4,0.34375,0.1308411214953271
DM_peso_familia_290689,s,42,460,32,428,110,8,96.875,0.4,cod_destino_lixo_domic_fam_eq=naoColetado@cod_iluminacao_domic_fam_eq=eletricidade@cod_material_piso_fam=cepeca,19,174,0.012117202268431004,1.4151554404145075,0.09844559585492228,0.41956521739130437,4.2848098694606644,0.03845438323119654,0.59375,0.40654205607476634
DM_peso_familia_290689,s,42,460,32,428,110,9,96.875,0.4,cod_banheiro_domic_fam=s@val_desp_transpor_fam_eq=(12;60),7,25,0.010378071833648394,3.14453125,0.21875,0.06956521739130435,11.825921955520137,5.841178467388408E-4,0.21875,0.05841121495327103

