base,alvo,A,D,Dp,Dn,I,id,SUPP,itemDom,desc,TP,FP,quali,lift,conf,cov,chi,pvalue,sup_p,sup_n
DM_peso_familia_240940,s,42,958,61,897,107,0,98.36065573770492,0.3,cod_agua_canalizada_fam=s@val_desp_energia_fam_eq=(20;65)@estcivmae=casada/uniEstavel@cod_sabe_ler_escrever_memb_eq_M=s@cct_M=n,28,205,0.013741005312912686,1.8872862872018572,0.12017167381974249,0.24321503131524008,16.483459098836295,4.907636302364793E-5,0.45901639344262296,0.22853957636566333
DM_peso_familia_240940,s,42,958,61,897,107,1,98.36065573770492,0.3,val_desp_aluguel_fam_eq=0@estcivmae=casada/uniEstavel@cod_sabe_ler_escrever_memb_eq_M=s,30,262,0.011907200543930681,1.6135189759712552,0.10273972602739725,0.3048016701461378,10.751461970161625,0.0010419697394150607,0.4918032786885246,0.29208472686733555
DM_peso_familia_240940,s,42,958,61,897,107,2,98.36065573770492,0.3,cod_abaste_agua_domic_fam_eq=redePublica@cod_iluminacao_domic_fam_eq=eletricidade@val_desp_aluguel_fam_eq=0@val_desp_energia_fam_eq=(20;65)@cct_M=n,25,204,0.010875344859898623,1.7145107022693105,0.1091703056768559,0.23903966597077245,10.447883745907008,0.001227900545480054,0.4098360655737705,0.22742474916387959
DM_peso_familia_240940,s,42,958,61,897,107,3,98.36065573770492,0.3,csection=Natural,17,94,0.01036758905339499,2.4052577167331264,0.15315315315315314,0.11586638830897704,16.85987797890863,4.024333340224562E-5,0.2786885245901639,0.10479375696767002
DM_peso_familia_240940,s,42,958,61,897,107,4,98.36065573770492,0.3,qtd_comodos_domic_fam_eq=[6a5]@val_desp_agua_esgoto_fam_eq=(17;40)@cod_sabe_ler_escrever_memb_eq_M=s@social_assistence_M=n,27,248,0.00990559664576078,1.5419374068554397,0.09818181818181818,0.2870563674321503,7.703944564135935,0.005510028130648936,0.4426229508196721,0.27647714604236345
DM_peso_familia_240940,s,42,958,61,897,107,5,98.36065573770492,0.3,cod_material_domic_fam_eq=tijolo;alvenaria@cod_parentesco_rf_pessoa_eq=Son/daughter@val_desp_alimentacao_fam_eq=(100;300)@hh_income_exp=(185;512),25,248,0.007950845751195293,1.4381793070317659,0.09157509157509157,0.2849686847599165,4.985155446732486,0.025565688096834682,0.4098360655737705,0.27647714604236345
DM_peso_familia_240940,s,42,958,61,897,107,6,98.36065573770492,0.3,val_desp_transpor_fam_eq=(12;60)@racacor_cidacs_M=preto;pardo@primeiraGestacao=n,10,37,0.007314516585963275,3.3414719218695494,0.2127659574468085,0.049060542797494784,18.427239926510563,1.7651652092443015E-5,0.16393442622950818,0.04124860646599777
DM_peso_familia_240940,s,42,958,61,897,107,7,98.36065573770492,0.3,cod_banheiro_domic_fam=s@cod_material_domic_fam_eq=tijolo;alvenaria@val_desp_medicamentos_fam_eq=0@consultas=1-3,8,11,0.007087878801086118,6.6125970664365825,0.42105263157894735,0.019832985386221295,41.52586039686048,1.1632195207056384E-10,0.13114754098360656,0.012263099219620958
DM_peso_familia_240940,s,42,958,61,897,107,8,98.36065573770492,0.3,cod_banheiro_domic_fam=s@consultas=4-6,15,117,0.006884122715643672,1.784649776453055,0.11363636363636363,0.13778705636743216,6.409859285525231,0.011348840888537937,0.2459016393442623,0.13043478260869565
DM_peso_familia_240940,s,42,958,61,897,107,9,98.36065573770492,0.3,val_desp_medicamentos_fam_eq=0@val_desp_transpor_fam_eq=(12;60),14,107,0.006571406156702594,1.817097954206747,0.11570247933884298,0.12630480167014613,6.287978667540967,0.012155960598229654,0.22950819672131148,0.11928651059085842

DM_peso_familia_240940,n,42,958,897,61,109,0,92.53065774804905,0.5,cod_material_piso_fam=cepeca@csection=C-section@consultas=>6,518,16,0.018791323259574402,1.0360043256965583,0.9700374531835206,0.55741127348643,22.999208000402255,1.6206815178776424E-6,0.5774804905239688,0.26229508196721313
DM_peso_familia_240940,n,42,958,897,61,109,1,92.53065774804905,0.5,val_desp_transpor_fam_eq=0@estcivmae=solteira@consultas=>6,287,3,0.01614358375355757,1.0569561373159575,0.9896551724137931,0.302713987473904,19.839499386309743,8.422412472453011E-6,0.31995540691192864,0.04918032786885246
DM_peso_familia_240940,n,42,958,897,61,109,2,92.53065774804905,0.5,female=n@qtd_familias_domic_fam=<=1@val_desp_transpor_fam_eq=0@consultas=>6,302,7,0.013231070296939111,1.043810183531585,0.9773462783171522,0.32254697286012524,12.873363867787182,3.3329198234244295E-4,0.3366778149386845,0.11475409836065574
DM_peso_familia_240940,n,42,958,897,61,109,3,92.53065774804905,0.5,cod_parentesco_rf_pessoa_eq=Son/daughter@csection=C-section@consultas=>6@partoCesarioAnterior=s,327,10,0.011960591175945022,1.0363129323263498,0.9703264094955489,0.35177453027139877,10.080662118323088,0.0014983348291018883,0.36454849498327757,0.16393442622950818
DM_peso_familia_240940,n,42,958,897,61,109,4,92.53065774804905,0.5,val_desp_gas_fam_eq=(0;24]@consultas=>6,312,10,0.010963602843432549,1.0348366189576022,0.968944099378882,0.33611691022964507,8.655633710522537,0.0032605166067946056,0.34782608695652173,0.16393442622950818
DM_peso_familia_240940,n,42,958,897,61,109,5,92.53065774804905,0.5,cod_abaste_agua_domic_fam_eq=redePublica@cod_destino_lixo_domic_fam_eq=coletado@val_desp_medicamentos_fam_eq=0@mesprenat=[1;3],583,30,0.009428349771836823,1.0157367043671037,0.9510603588907015,0.639874739039666,6.198649340329252,0.012784783819289047,0.6499442586399108,0.4918032786885246
DM_peso_familia_240940,n,42,958,897,61,109,6,92.53065774804905,0.5,cod_iluminacao_domic_fam_eq=eletricidade@val_desp_medicamentos_fam_eq=0@mesprenat=[1;3],633,34,0.00884214242441415,1.0135634523875188,0.9490254872563718,0.6962421711899791,5.9402053206847825,0.014799294563570875,0.705685618729097,0.5573770491803278
DM_peso_familia_240940,n,42,958,897,61,109,7,92.53065774804905,0.5,cod_banheiro_domic_fam=s@mesprenat=[1;3]@cct_M=s,184,5,0.007342846309072919,1.0397503730837063,0.9735449735449735,0.19728601252609604,5.470739050379063,0.01933744656138081,0.20512820512820512,0.08196721311475409
DM_peso_familia_240940,n,42,958,897,61,109,8,92.53065774804905,0.5,val_desp_aluguel_fam_eq=(150;350)@val_desp_medicamentos_fam_eq=0,138,2,0.007217541764549506,1.0527472527472528,0.9857142857142858,0.14613778705636743,6.708146508988223,0.009597342874002157,0.15384615384615385,0.03278688524590164
DM_peso_familia_240940,n,42,958,897,61,109,9,92.53065774804905,0.5,mesprenat=[1;3]@hh_income_exp=(0;185],150,4,0.006060381535994009,1.0402640837423447,0.974025974025974,0.16075156576200417,4.374500096981774,0.036480529629821956,0.16722408026755853,0.06557377049180328
